subject,list,item,input,output,study,recall,repeat,intrusion,first_input,condition,prior_list,prior_input
118,0,0,1,4.0,True,True,0,False,1,0.0,,
118,0,0,2,,True,False,0,False,2,0.0,,
118,0,0,3,,True,False,0,False,3,0.0,,
118,0,1,4,,True,False,0,False,4,0.0,,
118,0,1,5,,True,False,0,False,5,0.0,,
118,0,1,6,,True,False,0,False,6,0.0,,
118,0,2,7,3.0,True,True,0,False,7,0.0,,
118,0,2,8,,True,False,0,False,8,0.0,,
118,0,2,9,,True,False,0,False,9,0.0,,
118,0,3,10,,True,False,0,False,10,0.0,,
118,0,3,11,,True,False,0,False,11,0.0,,
118,0,3,12,,True,False,0,False,12,0.0,,
118,0,4,13,,True,False,0,False,13,0.0,,
118,0,4,14,,True,False,0,False,14,0.0,,
118,0,4,15,,True,False,0,False,15,0.0,,
118,0,5,16,,True,False,0,False,16,0.0,,
118,0,5,17,,True,False,0,False,17,0.0,,
118,0,5,18,,True,False,0,False,18,0.0,,
118,0,6,19,,True,False,0,False,19,0.0,,
118,0,6,20,,True,False,0,False,20,0.0,,
118,0,6,21,,True,False,0,False,21,0.0,,
118,0,7,22,,True,False,0,False,22,0.0,,
118,0,7,23,,True,False,0,False,23,0.0,,
118,0,7,24,,True,False,0,False,24,0.0,,
118,0,8,25,,True,False,0,False,25,0.0,,
118,0,8,26,,True,False,0,False,26,0.0,,
118,0,8,27,,True,False,0,False,27,0.0,,
118,0,9,28,,True,False,0,False,28,0.0,,
118,0,9,29,,True,False,0,False,29,0.0,,
118,0,9,30,,True,False,0,False,30,0.0,,
118,0,10,31,,True,False,0,False,31,0.0,,
118,0,10,32,,True,False,0,False,32,0.0,,
118,0,10,33,,True,False,0,False,33,0.0,,
118,0,11,34,,True,False,0,False,34,0.0,,
118,0,11,35,,True,False,0,False,35,0.0,,
118,0,11,36,,True,False,0,False,36,0.0,,
118,0,12,37,,True,False,0,False,37,0.0,,
118,0,12,38,,True,False,0,False,38,0.0,,
118,0,12,39,,True,False,0,False,39,0.0,,
118,0,13,40,,True,False,0,False,40,0.0,,
118,0,13,41,,True,False,0,False,41,0.0,,
118,0,13,42,,True,False,0,False,42,0.0,,
118,0,14,43,,True,False,0,False,43,0.0,,
118,0,14,44,,True,False,0,False,44,0.0,,
118,0,14,45,,True,False,0,False,45,0.0,,
118,0,15,46,,True,False,0,False,46,0.0,,
118,0,15,47,,True,False,0,False,47,0.0,,
118,0,15,48,,True,False,0,False,48,0.0,,
118,0,16,49,,True,False,0,False,49,0.0,,
118,0,16,50,,True,False,0,False,50,0.0,,
118,0,16,51,,True,False,0,False,51,0.0,,
118,0,17,52,,True,False,0,False,52,0.0,,
118,0,17,53,,True,False,0,False,53,0.0,,
118,0,17,54,,True,False,0,False,54,0.0,,
118,0,18,55,,True,False,0,False,55,0.0,,
118,0,18,56,,True,False,0,False,56,0.0,,
118,0,18,57,,True,False,0,False,57,0.0,,
118,0,19,58,,True,False,0,False,58,0.0,,
118,0,19,59,,True,False,0,False,59,0.0,,
118,0,19,60,,True,False,0,False,60,0.0,,
118,0,20,61,,True,False,0,False,61,0.0,,
118,0,20,62,,True,False,0,False,62,0.0,,
118,0,20,63,,True,False,0,False,63,0.0,,
118,0,21,64,,True,False,0,False,64,0.0,,
118,0,21,65,,True,False,0,False,65,0.0,,
118,0,21,66,,True,False,0,False,66,0.0,,
118,0,22,67,,True,False,0,False,67,0.0,,
118,0,22,68,,True,False,0,False,68,0.0,,
118,0,22,69,,True,False,0,False,69,0.0,,
118,0,23,70,,True,False,0,False,70,0.0,,
118,0,23,71,,True,False,0,False,71,0.0,,
118,0,23,72,,True,False,0,False,72,0.0,,
118,0,24,73,,True,False,0,False,73,0.0,,
118,0,24,74,,True,False,0,False,74,0.0,,
118,0,24,75,,True,False,0,False,75,0.0,,
118,0,25,76,2.0,True,True,0,False,76,0.0,,
118,0,25,77,,True,False,0,False,77,0.0,,
118,0,25,78,,True,False,0,False,78,0.0,,
118,0,26,79,,True,False,0,False,79,0.0,,
118,0,26,80,,True,False,0,False,80,0.0,,
118,0,26,81,,True,False,0,False,81,0.0,,
118,0,27,82,,True,False,0,False,82,0.0,,
118,0,27,83,,True,False,0,False,83,0.0,,
118,0,27,84,,True,False,0,False,84,0.0,,
118,0,28,85,1.0,True,True,0,False,85,0.0,,
118,0,28,86,,True,False,0,False,86,0.0,,
118,0,28,87,,True,False,0,False,87,0.0,,
118,0,29,88,,True,False,0,False,88,0.0,,
118,0,29,89,,True,False,0,False,89,0.0,,
118,0,29,90,,True,False,0,False,90,0.0,,
118,1,0,1,,True,False,0,False,1,2.0,,
118,1,0,7,,True,False,0,False,7,2.0,,
118,1,0,10,,True,False,0,False,10,2.0,,
118,1,1,2,6.0,True,True,0,False,2,2.0,,
118,1,2,3,,True,False,0,False,3,2.0,,
118,1,2,6,,True,False,0,False,6,2.0,,
118,1,2,11,,True,False,0,False,11,2.0,,
118,1,3,4,12.0,True,True,0,False,4,2.0,,
118,1,1,5,,True,False,0,False,5,2.0,,
118,1,1,8,,True,False,0,False,8,2.0,,
118,1,3,9,,True,False,0,False,9,2.0,,
118,1,3,14,,True,False,0,False,14,2.0,,
