index,subject,lag,prob,source,positive
0,63,-5,0.11320754716981132,data,False
1,63,-4,0.08943089430894309,data,False
2,63,-3,0.07518796992481203,data,False
3,63,-2,0.09420289855072464,data,False
4,63,-1,0.1450381679389313,data,False
5,63,0,,data,False
6,63,1,0.3385416666666667,data,True
7,63,2,0.0935672514619883,data,True
8,63,3,0.09316770186335403,data,True
9,63,4,0.05333333333333334,data,True
10,63,5,0.1310344827586207,data,True
0,64,-5,0.03125,data,False
1,64,-4,0.02127659574468085,data,False
2,64,-3,0.07035175879396985,data,False
3,64,-2,0.08823529411764706,data,False
4,64,-1,0.38028169014084506,data,False
5,64,0,,data,False
6,64,1,0.7477477477477478,data,True
7,64,2,0.15819209039548024,data,True
8,64,3,0.13178294573643412,data,True
9,64,4,0.06493506493506493,data,True
10,64,5,0.0,data,True
0,65,-5,0.06535947712418301,data,False
1,65,-4,0.0625,data,False
2,65,-3,0.06547619047619048,data,False
3,65,-2,0.1686046511627907,data,False
4,65,-1,0.36904761904761907,data,False
5,65,0,,data,False
6,65,1,0.2682926829268293,data,True
7,65,2,0.16494845360824742,data,True
8,65,3,0.11627906976744186,data,True
9,65,4,0.08,data,True
10,65,5,0.028985507246376812,data,True
0,66,-5,0.04040404040404041,data,False
1,66,-4,0.049019607843137254,data,False
2,66,-3,0.07272727272727272,data,False
3,66,-2,0.1810344827586207,data,False
4,66,-1,0.11290322580645161,data,False
5,66,0,,data,False
6,66,1,0.549800796812749,data,True
7,66,2,0.19915254237288135,data,True
8,66,3,0.07727272727272727,data,True
9,66,4,0.034653465346534656,data,True
10,66,5,0.015957446808510637,data,True
0,67,-5,0.05851063829787234,data,False
1,67,-4,0.09326424870466321,data,False
2,67,-3,0.07291666666666667,data,False
3,67,-2,0.16145833333333334,data,False
4,67,-1,0.2857142857142857,data,False
5,67,0,,data,False
6,67,1,0.5054347826086957,data,True
7,67,2,0.16455696202531644,data,True
8,67,3,0.09848484848484848,data,True
9,67,4,0.1308411214953271,data,True
10,67,5,0.03529411764705882,data,True
0,69,-5,0.08917197452229299,data,False
1,69,-4,0.06358381502890173,data,False
2,69,-3,0.04597701149425287,data,False
3,69,-2,0.11560693641618497,data,False
4,69,-1,0.24503311258278146,data,False
5,69,0,,data,False
6,69,1,0.45251396648044695,data,True
7,69,2,0.10416666666666667,data,True
8,69,3,0.06923076923076923,data,True
9,69,4,0.09523809523809523,data,True
10,69,5,0.04950495049504951,data,True
0,70,-5,0.03759398496240601,data,False
1,70,-4,0.04316546762589928,data,False
2,70,-3,0.05,data,False
3,70,-2,0.07092198581560284,data,False
4,70,-1,0.265625,data,False
5,70,0,,data,False
6,70,1,0.44881889763779526,data,True
7,70,2,0.07758620689655173,data,True
8,70,3,0.061224489795918366,data,True
9,70,4,0.05813953488372093,data,True
10,70,5,0.04938271604938271,data,True
0,73,-5,0.050359712230215826,data,False
1,73,-4,0.06,data,False
2,73,-3,0.08496732026143791,data,False
3,73,-2,0.1111111111111111,data,False
4,73,-1,0.24074074074074073,data,False
5,73,0,,data,False
6,73,1,0.3333333333333333,data,True
7,73,2,0.12857142857142856,data,True
8,73,3,0.17293233082706766,data,True
9,73,4,0.06557377049180328,data,True
10,73,5,0.12612612612612611,data,True
0,74,-5,0.03389830508474576,data,False
1,74,-4,0.032432432432432434,data,False
