index,subject,bin,prob,source
0,1,0.0,0.06334841628959276,data
1,1,0.0,,data
2,1,0.0,,data
3,1,1.0,0.03614457831325301,data
4,1,1.0,,data
5,1,1.0,,data
6,1,1.0,,data
7,1,1.0,,data
8,1,1.0,,data
9,1,1.0,,data
0,2,0.0,0.08695652173913043,data
1,2,0.0,,data
2,2,0.0,,data
3,2,1.0,0.024232633279483037,data
4,2,1.0,,data
5,2,1.0,,data
6,2,1.0,,data
7,2,1.0,,data
8,2,1.0,,data
9,2,1.0,,data
0,3,0.0,0.05776173285198556,data
1,3,0.0,,data
2,3,0.0,,data
3,3,1.0,0.04120443740095087,data
4,3,1.0,,data
5,3,1.0,,data
6,3,1.0,,data
7,3,1.0,,data
8,3,1.0,,data
9,3,1.0,,data
0,5,0.0,0.10178117048346055,data
1,5,0.0,,data
2,5,0.0,,data
3,5,1.0,0.04276315789473684,data
4,5,1.0,,data
5,5,1.0,,data
6,5,1.0,,data
7,5,1.0,,data
8,5,1.0,,data
9,5,1.0,,data
0,6,0.0,0.05333333333333334,data
1,6,0.0,,data
2,6,0.0,,data
3,6,1.0,0.04183266932270916,data
4,6,1.0,,data
5,6,1.0,,data
6,6,1.0,,data
7,6,1.0,,data
8,6,1.0,,data
9,6,1.0,,data
0,7,0.0,0.07251908396946564,data
1,7,0.0,,data
2,7,0.0,,data
3,7,1.0,0.036065573770491806,data
4,7,1.0,,data
5,7,1.0,,data
6,7,1.0,,data
7,7,1.0,,data
8,7,1.0,,data
9,7,1.0,,data
0,8,0.0,0.053475935828877004,data
1,8,0.0,,data
2,8,0.0,,data
3,8,1.0,0.03044496487119438,data
4,8,1.0,,data
5,8,1.0,,data
6,8,1.0,,data
7,8,1.0,,data
8,8,1.0,,data
9,8,1.0,,data
0,9,0.0,0.13157894736842105,data
1,9,0.0,,data
2,9,0.0,,data
3,9,1.0,0.016560509554140127,data
4,9,1.0,,data
5,9,1.0,,data
6,9,1.0,,data
7,9,1.0,,data
8,9,1.0,,data
9,9,1.0,,data
0,10,0.0,0.10185185185185185,data
1,10,0.0,,data
2,10,0.0,,data
3,10,1.0,0.02131782945736434,data
4,10,1.0,,data
5,10,1.0,,data
6,10,1.0,,data
7,10,1.0,,data
8,10,1.0,,data
9,10,1.0,,data
0,11,0.0,0.08085106382978724,data
1,11,0.0,,data
2,11,0.0,,data
3,11,1.0,0.030418250950570342,data
4,11,1.0,,data
5,11,1.0,,data
6,11,1.0,,data
7,11,1.0,,data
8,11,1.0,,data
9,11,1.0,,data
0,12,0.0,0.17424242424242425,data
1,12,0.0,,data
2,12,0.0,,data
3,12,1.0,0.0,data
4,12,1.0,,data
5,12,1.0,,data
6,12,1.0,,data
7,12,1.0,,data
8,12,1.0,,data
9,12,1.0,,data
0,13,0.0,0.09659090909090909,data
1,13,0.0,,data
2,13,0.0,,data
3,13,1.0,0.019801980198019802,data
4,13,1.0,,data
5,13,1.0,,data
6,13,1.0,,data
7,13,1.0,,data
8,13,1.0,,data
9,13,1.0,,data
0,14,0.0,0.09404388714733543,data
1,14,0.0,,data
