index,subject,bin,prob,source
0,1,0.0,0.12128712871287128,data
1,1,0.0,,data
2,1,0.0,,data
3,1,1.0,0.0391304347826087,data
4,1,1.0,,data
5,1,1.0,,data
6,1,1.0,,data
7,1,1.0,,data
8,1,1.0,,data
9,1,1.0,,data
0,2,0.0,0.10112359550561797,data
1,2,0.0,,data
2,2,0.0,,data
3,2,1.0,0.031685678073510776,data
4,2,1.0,,data
5,2,1.0,,data
6,2,1.0,,data
7,2,1.0,,data
8,2,1.0,,data
9,2,1.0,,data
0,3,0.0,0.08540925266903915,data
1,3,0.0,,data
2,3,0.0,,data
3,3,1.0,0.03167420814479638,data
4,3,1.0,,data
5,3,1.0,,data
6,3,1.0,,data
7,3,1.0,,data
8,3,1.0,,data
9,3,1.0,,data
0,5,0.0,0.11302211302211303,data
1,5,0.0,,data
2,5,0.0,,data
3,5,1.0,0.04371584699453552,data
4,5,1.0,,data
5,5,1.0,,data
6,5,1.0,,data
7,5,1.0,,data
8,5,1.0,,data
9,5,1.0,,data
0,6,0.0,0.084,data
1,6,0.0,,data
2,6,0.0,,data
3,6,1.0,0.029565217391304348,data
4,6,1.0,,data
5,6,1.0,,data
6,6,1.0,,data
7,6,1.0,,data
8,6,1.0,,data
9,6,1.0,,data
0,7,0.0,0.10273972602739725,data
1,7,0.0,,data
2,7,0.0,,data
3,7,1.0,0.02225519287833828,data
4,7,1.0,,data
5,7,1.0,,data
6,7,1.0,,data
7,7,1.0,,data
8,7,1.0,,data
9,7,1.0,,data
0,8,0.0,0.07352941176470588,data
1,8,0.0,,data
2,8,0.0,,data
3,8,1.0,0.0196078431372549,data
4,8,1.0,,data
5,8,1.0,,data
6,8,1.0,,data
7,8,1.0,,data
8,8,1.0,,data
9,8,1.0,,data
0,9,0.0,0.16164383561643836,data
1,9,0.0,,data
2,9,0.0,,data
3,9,1.0,0.01694915254237288,data
4,9,1.0,,data
5,9,1.0,,data
6,9,1.0,,data
7,9,1.0,,data
8,9,1.0,,data
9,9,1.0,,data
0,10,0.0,0.13333333333333333,data
1,10,0.0,,data
2,10,0.0,,data
3,10,1.0,0.012364760432766615,data
4,10,1.0,,data
5,10,1.0,,data
6,10,1.0,,data
7,10,1.0,,data
8,10,1.0,,data
9,10,1.0,,data
0,11,0.0,0.12084592145015106,data
1,11,0.0,,data
2,11,0.0,,data
3,11,1.0,0.014945652173913044,data
4,11,1.0,,data
5,11,1.0,,data
6,11,1.0,,data
7,11,1.0,,data
8,11,1.0,,data
9,11,1.0,,data
0,12,0.0,0.18543046357615894,data
1,12,0.0,,data
2,12,0.0,,data
3,12,1.0,0.0018115942028985507,data
4,12,1.0,,data
5,12,1.0,,data
6,12,1.0,,data
7,12,1.0,,data
8,12,1.0,,data
9,12,1.0,,data
0,13,0.0,0.10064935064935066,data
1,13,0.0,,data
2,13,0.0,,data
3,13,1.0,0.02564102564102564,data
4,13,1.0,,data
5,13,1.0,,data
6,13,1.0,,data
7,13,1.0,,data
8,13,1.0,,data
9,13,1.0,,data
0,14,0.0,0.12568306010928962,data
1,14,0.0,,data
2,14,0.0,,data
3,14,1.0,0.020987654320987655,data
4,14,1.0,,data
5,14,1.0,,data
6,14,1.0,,data
7,14,1.0,,data
8,14,1.0,,data
9,14,1.0,,data
0,15,0.0,0.11351351351351352,data
1,15,0.0,,data
2,15,0.0,,data
3,15,1.0,0.02965599051008304,data
4,15,1.0,,data
5,15,1.0,,data
6,15,1.0,,data
7,15,1.0,,data
8,15,1.0,,data
9,15,1.0,,data
0,16,0.0,0.06951871657754011,data
1,16,0.0,,data
2,16,0.0,,data
3,16,1.0,0.02702702702702703,data
4,16,1.0,,data
5,16,1.0,,data
6,16,1.0,,data
7,16,1.0,,data
8,16,1.0,,data
9,16,1.0,,data
0,17,0.0,0.10869565217391304,data
1,17,0.0,,data
2,17,0.0,,data
3,17,1.0,0.02435723951285521,data
4,17,1.0,,data
5,17,1.0,,data
6,17,1.0,,data
7,17,1.0,,data
8,17,1.0,,data
9,17,1.0,,data
0,18,0.0,0.09243697478991597,data
1,18,0.0,,data
2,18,0.0,,data
3,18,1.0,0.028268551236749116,data
4,18,1.0,,data
5,18,1.0,,data
6,18,1.0,,data
7,18,1.0,,data
8,18,1.0,,data
9,18,1.0,,data
0,19,0.0,0.08469055374592833,data
1,19,0.0,,data
2,19,0.0,,data
3,19,1.0,0.033773861967694566,data
4,19,1.0,,data
5,19,1.0,,data
6,19,1.0,,data
7,19,1.0,,data
8,19,1.0,,data
9,19,1.0,,data
0,20,0.0,0.09642857142857143,data
1,20,0.0,,data
2,20,0.0,,data
3,20,1.0,0.02694136291600634,data
4,20,1.0,,data
5,20,1.0,,data
6,20,1.0,,data
7,20,1.0,,data
8,20,1.0,,data
9,20,1.0,,data
0,21,0.0,0.08,data
1,21,0.0,,data
2,21,0.0,,data
3,21,1.0,0.03672316384180791,data
4,21,1.0,,data
5,21,1.0,,data
6,21,1.0,,data
7,21,1.0,,data
8,21,1.0,,data
9,21,1.0,,data
0,22,0.0,0.09538461538461539,data
1,22,0.0,,data
2,22,0.0,,data
3,22,1.0,0.032520325203252036,data
4,22,1.0,,data
5,22,1.0,,data
