index,subject,bin,prob,source
0,1,0.0,0.1008,data
1,1,0.0,,data
2,1,0.0,,data
3,1,1.0,0.0380818053596615,data
4,1,1.0,,data
5,1,1.0,,data
6,1,1.0,,data
7,1,1.0,,data
8,1,1.0,,data
9,1,1.0,,data
0,2,0.0,0.0949367088607595,data
1,2,0.0,,data
2,2,0.0,,data
3,2,1.0,0.028409090909090908,data
4,2,1.0,,data
5,2,1.0,,data
6,2,1.0,,data
7,2,1.0,,data
8,2,1.0,,data
9,2,1.0,,data
0,3,0.0,0.07168458781362007,data
1,3,0.0,,data
2,3,0.0,,data
3,3,1.0,0.03632148377125193,data
4,3,1.0,,data
5,3,1.0,,data
6,3,1.0,,data
7,3,1.0,,data
8,3,1.0,,data
9,3,1.0,,data
0,5,0.0,0.1075,data
1,5,0.0,,data
2,5,0.0,,data
3,5,1.0,0.04324028461959496,data
4,5,1.0,,data
5,5,1.0,,data
6,5,1.0,,data
7,5,1.0,,data
8,5,1.0,,data
9,5,1.0,,data
0,6,0.0,0.06947368421052631,data
1,6,0.0,,data
2,6,0.0,,data
3,6,1.0,0.035283194057567316,data
4,6,1.0,,data
5,6,1.0,,data
6,6,1.0,,data
7,6,1.0,,data
8,6,1.0,,data
9,6,1.0,,data
0,7,0.0,0.08844765342960288,data
1,7,0.0,,data
2,7,0.0,,data
3,7,1.0,0.02881619937694704,data
4,7,1.0,,data
5,7,1.0,,data
6,7,1.0,,data
7,7,1.0,,data
8,7,1.0,,data
9,7,1.0,,data
0,8,0.0,0.06191950464396285,data
1,8,0.0,,data
2,8,0.0,,data
3,8,1.0,0.02592087312414734,data
4,8,1.0,,data
5,8,1.0,,data
6,8,1.0,,data
7,8,1.0,,data
8,8,1.0,,data
9,8,1.0,,data
0,9,0.0,0.1471004243281471,data
1,9,0.0,,data
2,9,0.0,,data
3,9,1.0,0.016766467065868262,data
4,9,1.0,,data
5,9,1.0,,data
6,9,1.0,,data
7,9,1.0,,data
8,9,1.0,,data
9,9,1.0,,data
0,10,0.0,0.11934156378600823,data
1,10,0.0,,data
2,10,0.0,,data
3,10,1.0,0.01633705932932072,data
4,10,1.0,,data
5,10,1.0,,data
6,10,1.0,,data
7,10,1.0,,data
8,10,1.0,,data
9,10,1.0,,data
0,11,0.0,0.10424028268551237,data
1,11,0.0,,data
2,11,0.0,,data
3,11,1.0,0.021394611727416798,data
4,11,1.0,,data
5,11,1.0,,data
6,11,1.0,,data
7,11,1.0,,data
8,11,1.0,,data
9,11,1.0,,data
0,12,0.0,0.18021201413427562,data
1,12,0.0,,data
2,12,0.0,,data
3,12,1.0,0.000998003992015968,data
4,12,1.0,,data
5,12,1.0,,data
6,12,1.0,,data
7,12,1.0,,data
8,12,1.0,,data
9,12,1.0,,data
0,13,0.0,0.09917355371900827,data
1,13,0.0,,data
2,13,0.0,,data
3,13,1.0,0.023508137432188065,data
4,13,1.0,,data
5,13,1.0,,data
6,13,1.0,,data
7,13,1.0,,data
8,13,1.0,,data
9,13,1.0,,data
